,0,1,2,3
0,-0.216754,0.9451872,0.525989,0.7943507
1,0.22866812,0.85528064,0.054620452,0.48981482
2,-0.20304598,0.899895,0.5695147,0.7654616
3,-0.13460577,0.93646806,0.48272783,0.7084663
4,0.07206841,0.72461003,-0.0778633,0.5175413
5,-0.22902854,0.9220322,0.6522632,0.7601955
6,0.19395594,0.7784289,-0.20858754,0.5900929
7,0.15561374,0.89652115,-0.19549581,0.9521247
8,-0.24873106,0.97169834,0.7395772,0.92617
9,-0.2195718,0.77580434,0.46309352,0.4026301
10,-0.34131038,0.98139507,0.32481167,0.80614877
11,-0.0061469083,0.9892094,0.55763364,0.7769443
12,0.097884916,0.78091675,-0.044736512,0.6010171
13,0.0677914,0.8397309,-0.11401331,0.56966835
14,0.62587273,0.9362187,-0.35362083,0.84278965
15,0.05932704,0.91050786,0.31700903,0.5819107
16,0.057955172,0.8036296,-0.0499131,0.7069066
17,-0.29957646,0.9652864,0.2987369,0.6165626
18,0.18026194,0.95789045,-0.47135246,0.9227068
19,-0.39692816,0.8816413,0.6304555,0.5792001
20,0.0018602995,0.8821586,0.19804989,0.4686589
21,-0.08000036,0.83460724,0.09507586,0.5431549
22,-0.1226051,0.9229179,0.5704383,0.7024199
23,0.3449428,0.9814752,0.06616656,0.8075015
24,0.1869558,0.7938684,-0.044573713,0.63673383
25,0.4368015,0.87497747,-0.09477592,0.58927166
26,-0.1966409,0.95789844,0.48387554,0.5901816
27,0.12036028,0.9888849,0.56510925,0.6433527
28,0.42602766,0.8938464,-0.30130708,0.7744398
29,0.00083304546,0.93013257,0.42865708,0.63918537
30,-0.18960321,0.9673773,0.55286103,0.92407185
31,0.11163839,0.93631893,0.4049543,0.5923023
32,0.19139163,0.84276634,-0.053817388,0.47712967
33,0.22232309,0.791292,-0.16110484,0.6570675
34,-0.10000412,0.94863284,0.49982688,0.7533052
35,0.123831905,0.810517,-0.13227892,0.62129617
36,0.3577577,0.84584385,-0.43401432,0.7724969
37,0.020201387,0.9729154,0.11206104,0.776844
38,0.08192103,0.84104055,0.2993919,0.8592566
39,-0.282827,0.9689229,0.5265257,0.94700176
40,-0.21852165,0.9942262,0.6877093,0.92805046
41,-0.09564914,0.78052616,0.27464196,0.48068002
42,0.017668772,0.91913986,0.30478317,0.56846726
43,0.05021262,0.9028812,0.39710066,0.86724377
44,-0.09902327,0.9012766,0.41029283,0.4984133
45,-0.03346351,0.98645,0.33372203,0.7896376
46,0.018922612,0.9015001,0.10978763,0.46410838
47,-0.20207436,0.87667805,0.60036564,0.65121335
